Company,Ticker,Founding Year,,Prospectus link,
Edgar Online Inc,EDGR,1999,,https://www.sec.gov/Archives/edgar/data/1080224/000095012399005188/0000950123-99-005188.txt,1
Portal Software Inc,PRSF,1999,,https://www.sec.gov/Archives/edgar/data/1080306/0001012870-99-001435.txt,1
E.piphany Inc,EPNY,1999,,https://www.sec.gov/Archives/edgar/data/1089613/000089161899004269/0000891618-99-004269.txt,1
Yahoo,YHOO,1996,,0,0
Insweb Corp,INSW,1999,,0,0
InterNAP Network Services,INAP,1999,,0,0
Prodigy Communications Inc,PRGY,1999,,https://www.sec.gov/Archives/edgar/data/824740/0000927016-99-000535.txt,1
Value America Inc,VUSAQ,1999,,https://www.sec.gov/Archives/edgar/data/1049889/0000916641-99-000317.txt,1
EarthWeb Inc,EWBX,1998,,https://www.sec.gov/Archives/edgar/data/1067056/0000940180-98-001136.txt,1
Efficient Networks Inc,EFNT,1999,,https://www.sec.gov/Archives/edgar/data/1085061/000101287099002322/0001012870-99-002322.txt,1
Retek Inc(HNC Software Inc),RETK,1999,,https://www.sec.gov/Archives/edgar/data/1094360/000095014999002068/0000950149-99-002068.txt,1
US Interactive Inc,USIT,1999,,0,0
Luminant Worldwide Corp,LUMTQ,1999,,https://www.sec.gov/Archives/edgar/data/1087322/000104746999035968/0001047469-99-035968.txt,1
iVillage Inc,IVIL,1999,,https://www.sec.gov/Archives/edgar/data/1074767/0000889812-99-000886.txt,1
CareInsite Inc(Synetic Inc),CARI,1999,,https://www.sec.gov/Archives/edgar/data/1082000/000095013099003693/0000950130-99-003693.txt,1
Rainmaker Systems Inc,VCTL,1999,,https://www.sec.gov/Archives/edgar/data/1094007/000101706299001977/0001017062-99-001977.txt,1
Network Access Solutions Corp,0SC,1999,,https://www.sec.gov/Archives/edgar/data/1081665/000094018099000653/0000940180-99-000653.txt,1
Zapme Corp,IZAP,1999,,0,0
Digital River Inc,DRIV,1998,,0,0
Jupiter Communications Inc,JPTR,1999,,https://www.sec.gov/Archives/edgar/data/1091908/000095012399009202/0000950123-99-009202.txt,1
Launch Media Inc,LAUN,1999,,https://www.sec.gov/Archives/edgar/data/1076582/0000950148-99-000931.txt,1
Voyager.Net Inc,VOYN,1999,,https://www.sec.gov/Archives/edgar/data/1085634/000092701699002655/0000927016-99-002655.txt,1
Priceline.com Inc,PCLN,1999,,0,0
Tel-Save Holdings,TALK,1995,,0,0
OneMain.com Inc,ONEM,1999,,https://www.sec.gov/Archives/edgar/data/1075530/0000928385-99-000923.txt,1
E-Loan Inc,EELN,1999,,https://www.sec.gov/Archives/edgar/data/1082337/000089161899002913/0000891618-99-002913.txt,1
US Internetworking Inc,USIX,1999,,0,0
Hotjobs Com LTD,HOTJ,1999,,https://www.sec.gov/Archives/edgar/data/1087728/000091205799004824/0000912057-99-004824.txt,1
nFront Inc,NFNT,1999,,0,0
MarketWatch.com Inc,MKTW,1999,,0,0
InfoSpace.com,INSP,1998,,0,0
Red Hat Inc,RHT,1999,,0,0
Active Software Inc,ASWX,1999,,https://www.sec.gov/Archives/edgar/data/1088147/000101287099002812/0001012870-99-002812.txt,1
TheStreet.com,TST,1999,,0,0
MP3.COM Inc,MPPP,1999,,https://www.sec.gov/Archives/edgar/data/1078073/000093639299000858/0000936392-99-000858.txt,1
US Search Corp.com,SRCH,1999,,https://www.sec.gov/Archives/edgar/data/1083087/000101287099002083/0001012870-99-002083.txt,1
Net2Phone Inc,NTOP,1999,,https://www.sec.gov/Archives/edgar/data/1086472/000095013099004365/0000950130-99-004365.txt,1
Scient Corporation,SCNT,1999,,https://www.sec.gov/Archives/edgar/data/1081394/0001012870-99-001554.txt,1
topjobs.net plc,3TJOB,1999,,0,0
Vantiv,VNTV,2012,,0,0
InterWorld Corp,ITWR,1999,,0,0
Drugstore.com Inc,DSCM,1999,,https://www.sec.gov/Archives/edgar/data/1086467/000103221099001096/0001032210-99-001096.txt,1
Quotesmith.com Inc,QUOT,1999,,0,0
DSL.net Inc,3DSLN,1999,,https://www.sec.gov/Archives/edgar/data/1085866/000092701699003381/0000927016-99-003381.txt,1
CyberSource Inc,CYBS,1999,,https://www.sec.gov/Archives/edgar/data/934280/000101287099002065/0001012870-99-002065.txt,1
Cysive Inc,CYSV,1999,,https://www.sec.gov/Archives/edgar/data/1093193/000095013399003243/0000950133-99-003243.txt,1
AdForce Inc,ADFC,1999,,0,0
Cheap Tickets Inc,CTIX,1999,,https://www.sec.gov/Archives/edgar/data/1076411/0000898430-99-001010.txt,1
Tickets.com,TIXX,1999,,https://www.sec.gov/Archives/edgar/data/1038083/000089256999002884/0000892569-99-002884.txt,1
SonicWALL Inc,SNWL,1999,,https://www.sec.gov/Archives/edgar/data/1093885/000101287099004164/0001012870-99-004164.txt,1
Gaiam Inc,GAIA,1999,,0,0
TD Waterhouse Group Inc,TWE,1999,,https://www.sec.gov/Archives/edgar/data/1085095/000095012399005876/0000950123-99-005876.txt,1
Freemarkets Inc,FMKT,1999,,https://www.sec.gov/Archives/edgar/data/949968/000095012899001193/0000950128-99-001193.txt,1
uBID,UBID,1998,,https://www.sec.gov/Archives/edgar/data/1064710/0001017062-98-002421.txt,1
SplitRock Services Inc,SPLT,1999,,https://www.sec.gov/Archives/edgar/data/1067822/000092838500000836/0000928385-00-000836.txt,1
Liberate Technologies,LBTE,1999,,https://www.sec.gov/Archives/edgar/data/1085776/000104746999028886/0001047469-99-028886.txt,1
Netzee Inc,3NETZ,1999,,https://www.sec.gov/Archives/edgar/data/1094335/000093176399003070/0000931763-99-003070.txt,1
Nextcard Inc,NXCDQ,1999,,https://www.sec.gov/Archives/edgar/data/1081015/0000950149-99-000951.txt,1
Clarent Corp,CLRN,1999,,https://www.sec.gov/Archives/edgar/data/1068292/000101287099002165/0001012870-99-002165.txt,1
barnesandnoble.com inc,BNBN,1999,,https://www.sec.gov/Archives/edgar/data/1069665/000088981299001696/0000889812-99-001696.txt,1
National Info Consortium Inc,EGOV,1999,,0,0
Mail.com Inc,MAIL,1999,,0,0
OneSource Information Services,ONES,1999,,https://www.sec.gov/Archives/edgar/data/1079880/0000950135-99-002846.txt,1
HeadHunter.NET Inc,HHNT,1999,,https://www.sec.gov/Archives/edgar/data/1065984/000095014499010550/0000950144-99-010550.txt,1
Internet Gold-Golden Lines Ltd,IGLDF,1999,,0,0
Razorfish Inc,RAZF,1999,,https://www.sec.gov/Archives/edgar/data/1075088/0000940180-99-000444.txt,1
ITXC Corp,ITXC,1999,,https://www.sec.gov/Archives/edgar/data/1061895/000095013099005467/0000950130-99-005467.txt,1
Women.com Networks,WOMN,1999,,https://www.sec.gov/Archives/edgar/data/1084609/000089161899004587/0000891618-99-004587.txt,1
Web Street Inc,WEBS,1999,,,1
Cobalt Group Inc,CBLT,1999,,,1
Network Plus Corp,NPLS,1999,,,1
1-800-Flowers.com Inc,FLWS,1999,,0,0
NetRadio Corp,3NETRZ,1999,,,1
InterTrust Technologies Corp,ITRU,1999,,,1
Interliant Inc,ILNTQ,1999,,,1
Netcentives Inc,NCNTQ,1999,,,1
Internet America Inc,GEEK,1998,,,1
Bluestone Software Inc,BLSW,1999,,,1
SciQuest.com Inc,SQI,1999,,,1
ShopNow.com Inc,SPNW,1999,,0,0
Fashionmall.com,FASH,1999,,,1
Breakaway Solutions Inc,BWAY,1999,,,1
SmarterKids com Inc,SKDS,1999,,,1
Covad Communications Group Inc,DVW,1999,,,1
Tumbleweed Communications Corp,TMWD,1999,,,1
Virage Inc,VRGE,2000,,,1
ONI Systems Corp,ONIS,2000,,,1
Opus360 Corp,OPUS,2000,,0,0
Getthere.Com Inc,GTHR,1999,,,1
Fogdog Sports Inc,FOGD,1999,,,1
Flag Telecom Holdings Ltd,FTGLF,2000,,,1
724 Solutions Inc,SVNX,2000,,,1
iBeam Broadcasting Corp,IBEMQ,2000,,,1
Global Crossing Ltd,GLBC,1998,,,1
Universal Access Inc,UAXS,2000,,0,0
Netpliance Inc,NPLI,2000,,0,0
OTG Software Inc,OTGS,2000,,,1
Multex.com Inc,MLTX,1999,,,1
Concord Communications Inc,CCRD,1997,,,1
Inforte Corp,INFT,2000,,,1
HealthStream Inc,HSTM,2000,,,1
AirNet Communications Corp,ANCCQ,1999,,,1
Digital Insight Corp,DGIN,1999,,,1
RadView Software Ltd,RDVWF,2000,,,1
PFSweb Inc,PFSW,1999,,,1
Digimarc Corp,DMRC,1999,,0,0
Ebenx Inc,EBNX,1999,,,1
webMethods Inc,WEBM,2000,,,1
PEC Solutions Inc,PECS,2000,,,1
Corvis Corp,CORV,2000,,0,0
Centillium Communications Inc,CTLM,2000,,0,0
Getty Communications,GYI,1996,,0,0
Go2Net Inc,GNET,1997,,,1
Akamai Technologies Inc,AKAM,1999,,0,0
MedicaLogic Inc,MDLI,1999,,,1
Hotel Reservations Network Inc,ROOM,2000,,0,0
Delano Technology Corp,3DTECF,2000,,,1
AGENCY.COM Ltd,ACOM,1999,,0,0
Centra Software Inc,CTRA,2000,,,1
McAfee.com Corp,MCAF,1999,,,1
Caldera Systems Inc,CALD,2000,,0,0
Healthcentral.com Inc,HCENQ,1999,,,1
Neoforma.com Inc,NEOF,2000,,,1
Blaze Software Inc,BLZE,2000,,,1
iprint.com Inc,IPRT,2000,,0,0
Prime Response Inc,PRME,2000,,,1
Digital Island Inc,ISLD,1999,,,1
Saba Software Inc,SABA,2000,,,1
Sunrise Telecom Inc,SRTI,2000,,,1
Lightspan Partnership Inc,LSPN,2000,,,1
GRIC Communications Inc,GRIC,1999,,0,0
FirePond Inc,FIRE,2000,,,1
Advanced Switching Communic,ASCX,2000,,,1
ValiCert Inc,VLCT,2000,,,1
Egreetings Network Inc,EGRT,1999,,,1
Xpedior Inc,XPDR,1999,,,1
Integrated Information Systems,IISX,2000,,,1
Digitalthink Inc,DTHK,2000,,,1
Niku Corp,NIKU,2000,,,1
Lante Corp,LNTE,2000,,,1
FreeShop.com Inc,FSHP,1999,,0,0
Turnstone Systems Inc,TSTN,2000,,,1
Emerge Interactive Inc,EMRG,2000,,,1
Divine Interventures Inc,DVINQ,2000,,0,0
Mind C.T.I. Ltd,MNDO,2000,,,1
Loislaw.com Inc,LOIS,1999,,,1
Blue Martini Software Inc,BLUE,2000,,,1
Storagenetworks Inc,3STOR,2000,,,1
Switchboard Inc,SWBD,2000,,,1
Valassis Communications,VCI,1992,,,1
Pets.com Inc,IPET,2000,,0,0
Click Commerce Inc,CKCM,2000,,,1
Triton Network Systems Inc,TNSIZ,2000,,,1
Choice One Communications,CWON,2000,,,1
LivePerson Inc,LPSN,2000,,0,0
NetRatings Inc,NTRT,1999,,,1
OmniSky Corp,OMNY,2000,,,1
WJ Communications Inc,WJCI,2000,,,1
Mainspring Inc,MSPR,2000,,,1
Websense Inc,WBSN,2000,,,1
Harris Interactive Inc,HPOL,1999,,,1
Quokka Sports Inc,QKKAQ,1999,,,1
eCollege.com,ECLG,1999,,,1
Korea Thrunet Co,KRTHF,1999,,0,0
Buy.com Inc,BUYY,2000,,,1
Webstakes.com Inc,IWIN,1999,,0,0
ImproveNet Inc,IMPV,2000,,,1
Onvia.com Inc,ONVI,2000,,,1
WebVan Group Inc,WBVNQ,1999,,,1
Support.com Inc,SPRT,2000,,0,0
Be Free Inc,BFRE,1999,,,1
ViryaNet LTD,VRYAF,2000,,,1
AsiaInfo Holdings Inc,ASIA,2000,,,1
Calico Commerce Inc,CLIC,1999,,,1
Genuity Inc,GENUQ,2000,,,1
Chemdex Corp,CMDX,1999,,0,0
Transmeta Corp,TMTA,2000,,,1
Webex Communications Inc,WEBX,2000,,,1
Asia Global Crossing Ltd,ASGXF,2000,,,1
Expedia Inc,EXPE,1999,,,1
LendingTree Inc,TREE,2000,,,1
Vicinity Corp,VCNT,2000,,,1
Convergent Group Corp,CVGP,2000,,,1
Integrated Telecom Express Inc,ITXI,2000,,,1
Ondisplay Inc,ONDS,1999,,,1
America Online Latin America,AOLAQ,2000,,,1
Extreme Networks,EXTR,1999,,0,0
Loudeye Technologies Inc,LOUD,2000,,,1
MyPoints.com Inc,MYPT,1999,,,1
Landacorp Inc,LCOR,2000,,,1
Resonate Inc,RSNT,2000,,,1
Jacada Ltd,JCDAF,1999,,0,0
Next Level Communications,NXTV,1999,,,1
Lexent Inc,3LXNT,2000,,,1
TIBCO Software Inc,TIBX,1999,,0,0
AvantGo Inc,AVGO,2000,,,1
Corillian Corp,CORI,2000,,,1
C-bridge Internet Solutions,CBIS,1999,,,1
ZipLink Inc,ZIPL,1999,,,1
Exult Inc,EXLT,2000,,,1
CrossWorlds Software Inc,CWLD,2000,,,1
Digitas Inc,DTAS,2000,,,1
O2Wireless Solutions Inc,3OTWO,2000,,0,0
Foundry Networks Inc,FDRY,1999,,0,0
Quintus Corp,QNTSQ,1999,,,1
CDW Corp,CDW,2013,,,1
HealthGate Data Corp,HGAT,2000,,,1
Network Engines Inc,NEI,2000,,,1
WorldQuest Networks Inc,WQNI,2000,,0,0
Tricom SA,TRICY,1998,,,1
Internet Initiative Japan Co,IIJIY,1999,,0,0
VIA NET.WORKS Inc,VNWI,2000,,,1
Online Resources & Commun,ORCC,1999,,,1
ARTISTdirect Inc,ARTD,2000,,,1
Cosine Communications Inc,COSN,2000,,,1
Streamline.com Inc,SLNE,1999,,,1
Art Technology Group Inc,ARTG,1999,,,1
Vitaminshoppe.com Inc,VSHP,1999,,,1
Mothernature.com Inc,MTHRZ,1999,,,1
Register.com Inc,RCOM,2000,,,1
West Corporation,WSTC,2013,,,1
Rediff.com India Ltd,REDF,2000,,,1
Datalex PLC,DLEXY,2000,,0,0
Synplicity Inc,SYNP,2000,,,1
Instinet Group LLC,INGP,2001,,0,0
Riverstone Networks,RSTN,2001,,,1
BAM! Entertainment,BFUN,2001,,,1
Simplex Solutions,SPLX,2001,,,1
Riverdeep Interactive Learning,RVDPY,2000,,0,0
Docent Inc,DCNT,2000,,,1
Alliance Data Systems,ADS,2001,,0,0
Student Advantage Inc,3STUA,1999,,,1
Interland Inc,ILND,2000,,,1
Perficient Inc,PRFT,1999,,,1
Synaptics,SY0,2002,,0,0
Lawson Software,LWSN,2001,,,1
Chordiant Software Inc,CHRD,2000,,0,0
Verint Systems,VRNT,2002,,,1
GameStop,GME,2002,,0,0
Netflix,NFLX,2002,,0,0
Computer Programs and Systems,CPSI,2002,,,1
Overstock.com,OSTK,2002,,,1
iPayment,0030B,2003,,,1
Netease.com Inc,NTES,2000,,,1
MTC Technologies,MTCT,2002,,,1
Ctrip.com International,CTRP,2003,,0,0
Sohu.com Inc,SOHU,2000,,0,0
Altiris,ATRS,2002,,0,0
CallWave,CLWA,2004,,0,0
Open Solutions,OPEN,2003,,,1
Shanda Interactive Entertainment,SNDA,2004,,,1
Blue Nile,NILE,2004,,0,0
Planetout,LGBT,2004,,,1
TOM Online,TOMO,2004,,,1
Greenfield Online,SRVY,2004,,,1
Plumtree Software,PLUM,2002,,,1
Provide Commerce Inc,PRVD,2003,,,1
Rightnow Technologies,RNOW,2004,,,1
Google,GOOG,2004,,0,0
salesforce.com,CRM,2004,,0,0
Deltathree Com Inc,DDDC,1999,,,1
Overnite,OVNT,2003,,,1
JAMDAT Mobile,JMDT,2004,,,1
RedEnvelope Inc,REDEQ,2003,,,1
Marchex,MCHX,2004,,,1
NeuStar,NSR,2005,,,1
NAVTEQ,NVT,2004,,,1
Heartland Payment Systems,HPY,2005,,,1
Blackbaud,BLKB,2004,,0,0
eLong,LONG,2004,,,1
InPhonic,INPC,2004,,,1
HouseValues,SOLD,2004,,0,0
VarsityBooks.com Inc,VSTY,2000,,0,0
SSA Global Technologies,SSAG,2005,,,1
InterVideo,IVII,2003,,,1
Unica,UNCA,2005,,,1
Fastclick,FSTC,2005,,,1
The9 Limited,NCTY,2004,,,1
WebSideStory,WSSI,2004,,,1
Shopping.com,SHOP,2004,,,1
Kintera,KNTA,2003,,,1
Taleo,TLEO,2005,,0,0
DexCom,DXCM,2005,posted 2018,,1
Snap ,,,,https://www.sec.gov/Archives/edgar/data/0001564408/000119312517068848/d270216d424b4.htm,1
MuleSoft ,,,,https://www.sec.gov/Archives/edgar/data/0001374684/000119312517086142/d287291d424b4.htm,1
Alteryx ,,,,https://www.sec.gov/edgar/browse/?CIK=1689923&owner=exclude,1
Okta,,,,https://www.sec.gov/Archives/edgar/data/0001660134/000119312517116256/d289173d424b4.htm,1
Netshoes (Cayman) Ltd. ,,,,https://www.sec.gov/Archives/edgar/data/0001562767/000119312517122978/d267741d424b4.htm,1
Yext,,,,https://www.sec.gov/Archives/edgar/data/0001614178/000104746917002593/a2231805z424b4.htm,1
